service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
64970,0,0,0,0,0,1,1,20190903,20191230,Выходные дни
64971,1,1,1,1,1,0,0,20190903,20191230,Будние дни
63553,1,1,1,1,1,1,1,20190812,20191230,Ежедневно
60245,0,0,0,0,0,1,1,20190503,20191230,Выходные дни
60244,1,1,1,1,1,0,0,20190503,20191230,Будние дни
62673,1,1,1,1,1,1,1,20190718,20191230,Ежедневно
63633,1,1,1,1,1,1,1,20190802,20191230,Ежедневно
64229,1,1,1,1,1,0,0,20190813,20191230,Будние дни
64230,0,0,0,0,0,1,1,20190813,20191230,Выходные дни
65242,1,1,1,1,1,0,0,20190912,20191230,Будние дни
65243,0,0,0,0,0,1,1,20190912,20191230,Выходные дни
63013,1,1,1,1,1,0,0,20190723,20191230,Будние дни
63012,0,0,0,0,0,1,1,20190723,20191230,Выходные дни
64159,1,1,1,1,1,0,0,20190813,20191230,Будние дни
64160,0,0,0,0,0,1,1,20190813,20191230,Выходные дни
64715,1,1,1,1,1,0,0,20190827,20191230,Будние дни
64716,0,0,0,0,0,1,1,20190827,20191230,Выходные дни
65043,1,1,1,1,0,0,0,20190905,20191230,Будние дни кроме пятницы
65044,0,0,0,0,1,0,0,20190905,20191230,Пятница
65045,0,0,0,0,0,1,0,20190905,20191230,Суббота
65046,0,0,0,0,0,0,1,20190905,20191230,Воскресенье
65241,0,0,0,0,0,1,1,20190912,20191230,Выходные дни
65240,1,1,1,1,1,0,0,20190912,20191230,Будние дни
65167,1,1,1,1,1,0,0,20190911,20191230,Будние дни
65168,0,0,0,0,0,1,1,20190911,20191230,Выходные дни
64707,1,1,1,1,1,0,0,20190826,20191230,Будние дни
64708,0,0,0,0,0,1,1,20190826,20191230,Выходные дни
62469,1,1,1,1,1,1,1,20190715,20191230,Ежедневно
65245,0,0,0,0,0,1,1,20190912,20191230,Выходные дни
65244,1,1,1,1,1,0,0,20190912,20191230,Будние дни
65312,0,0,0,0,0,1,1,20190913,20191230,Выходные дни
65313,1,1,1,1,1,0,0,20190913,20191230,Будние дни
65252,1,1,1,1,1,0,0,20190912,20191230,Будние дни
65253,0,0,0,0,0,1,1,20190912,20191230,Выходные дни
63911,1,1,1,1,0,0,0,20190803,20191230,Будние дни кроме пятницы
63910,0,0,0,0,1,0,0,20190803,20191230,Пятница
63909,0,0,0,0,0,1,1,20190803,20191230,Выходные дни
64425,0,0,0,0,0,1,0,20190909,20191230,Суббота
64423,1,1,1,1,0,0,0,20190909,20191230,Будние дни кроме пятницы
64426,0,0,0,0,0,0,1,20190909,20191230,Воскресенье
64424,0,0,0,0,1,0,0,20190909,20191230,Пятница
63791,1,1,1,1,1,1,1,20190802,20191230,Ежедневно
64639,1,1,1,1,1,1,1,20190824,20191230,Ежедневно
63908,0,0,0,0,0,1,1,20190803,20191230,Выходные дни
63907,1,1,1,1,1,0,0,20190803,20191230,Будние дни
65247,1,1,1,1,1,0,0,20190912,20191230,Будние дни
65246,0,0,0,0,0,1,1,20190912,20191230,Выходные дни
65311,1,1,1,1,1,0,0,20190913,20191230,Будние дни
65310,0,0,0,0,0,1,1,20190913,20191230,Выходные дни
65303,0,0,0,0,0,1,1,20190914,20191230,Выходные дни
65304,1,1,1,1,1,0,0,20190914,20191230,Будние дни
63957,1,1,1,1,1,0,0,20190805,20191230,Будние дни
63958,0,0,0,0,0,1,1,20190805,20191230,Выходные дни
56078,1,1,1,1,1,0,0,20181101,20191230,Будние дни
56079,0,0,0,0,0,1,1,20181101,20191230,Выходные дни
65229,1,1,1,1,1,0,0,20190912,20191230,Будние дни
65228,0,0,0,0,0,1,1,20190912,20191230,Выходные дни
63740,1,1,1,1,1,0,0,20190802,20191230,Будние дни
63741,0,0,0,0,0,1,1,20190802,20191230,Выходные дни
59938,1,1,1,1,1,0,0,20190424,20191230,Будние дни
59937,0,0,0,0,0,1,1,20190424,20191230,Выходные дни
59368,0,0,0,0,0,1,1,20190410,20191230,Выходные дни
59433,1,1,1,1,1,0,0,20190415,20191230,Будние дни
63139,1,1,1,1,1,0,0,20190801,20191230,Будние дни
65260,1,1,1,1,1,0,0,20190913,20191230,Будние дни
65259,0,0,0,0,0,1,1,20190913,20191230,Выходные дни
65021,1,1,1,1,1,0,0,20190905,20191230,Будние дни
65022,0,0,0,0,0,1,1,20190905,20191230,Выходные дни
65081,1,1,1,1,1,1,1,20190907,20191230,Ежедневно
63784,1,1,1,1,1,1,0,20190802,20191230,Будние и субботние дни
63786,0,0,0,0,0,0,1,20190802,20191230,Воскресенье
64936,1,1,1,1,1,1,1,20190902,20191230,Ежедневно
59738,0,0,0,0,0,1,1,20190501,20191230,Выходные дни
58662,1,1,1,1,1,0,0,20190211,20191230,Будние дни
58311,1,1,1,1,1,1,1,20190206,20191230,Ежедневно
