service_id,date,exception_type
64970,20100227,2
64970,20100308,1
64970,20100510,1
64970,20100503,1
64970,20110107,1
64970,20110105,1
64970,20110110,1
64970,20110305,2
64970,20120612,1
64970,20120509,1
64970,20110103,1
64970,20110509,1
64970,20111104,1
64970,20100614,1
64970,20101105,1
64970,20110104,1
64970,20110106,1
64970,20110223,1
64970,20110502,1
64970,20120430,1
64970,20101113,2
64970,20101104,1
64970,20110308,1
64970,20110307,1
64970,20110613,1
64970,20120507,1
64970,20120611,1
64970,20120512,2
64970,20121231,1
64970,20120103,1
64970,20120109,1
64970,20120309,1
64970,20130502,1
64970,20130510,1
64970,20140612,1
64970,20140914,2
64970,20150105,1
64970,20150107,1
64970,20150511,1
64970,20160220,2
64970,20160503,1
64970,20160613,1
64970,20170104,1
64970,20170224,1
64970,20121229,2
64970,20130102,1
64970,20130103,1
64970,20120104,1
64970,20120308,1
64970,20120508,1
64970,20120428,2
64970,20120609,2
64970,20130612,1
64970,20140310,1
64970,20140501,1
64970,20140509,1
64970,20141103,1
64970,20150309,1
64970,20150612,1
64970,20151104,1
64970,20160222,1
64970,20160223,1
64970,20170103,1
64970,20170308,1
64970,20130101,1
64970,20130104,1
64970,20130107,1
64970,20120102,1
64970,20120105,1
64970,20120223,1
64970,20130501,1
64970,20140106,1
64970,20150101,1
64970,20150102,1
64970,20150109,1
64970,20150223,1
64970,20150501,1
64970,20150504,1
64970,20160101,1
64970,20160104,1
64970,20160105,1
64970,20160107,1
64970,20170102,1
64970,20170105,1
64970,20130308,1
64970,20121105,1
64970,20120501,1
64970,20120311,2
64970,20130503,1
64970,20130509,1
64970,20131104,1
64970,20140101,1
64970,20140102,1
64970,20140103,1
64970,20140107,1
64970,20140108,1
64970,20140502,1
64970,20140613,1
64970,20141104,1
64970,20150106,1
64970,20150108,1
64970,20160106,1
64970,20160108,1
64970,20160307,1
64970,20160308,1
64970,20160502,1
64970,20160509,1
64970,20161104,1
64970,20170106,1
64970,20170223,1
64970,20170501,1
64970,20170509,1
64970,20180308,1
64970,20180309,1
64970,20180502,1
64970,20190101,1
64970,20190103,1
64970,20190108,1
64970,20190502,1
64970,20180318,2
64970,20180428,2
64970,20180509,1
64970,20180609,2
64970,20180611,1
64970,20181105,1
64970,20190104,1
64970,20190308,1
64970,20190908,2
64970,20170612,1
64970,20171106,1
64970,20180101,1
64970,20180102,1
64970,20180105,1
64970,20180223,1
64970,20180430,1
64970,20180501,1
64970,20190102,1
64970,20181231,1
64970,20190501,1
64970,20190503,1
64970,20190509,1
64970,20190612,1
64970,20170508,1
64970,20180103,1
64970,20180104,1
64970,20180108,1
64970,20180612,1
64970,20181229,2
64970,20190107,1
64970,20190510,1
64971,20100227,1
64971,20100308,2
64971,20100510,2
64971,20100503,2
64971,20110107,2
64971,20110105,2
64971,20110110,2
64971,20110305,1
64971,20120612,2
64971,20120509,2
64971,20110103,2
64971,20110509,2
64971,20111104,2
64971,20100614,2
64971,20101105,2
64971,20110104,2
64971,20110106,2
64971,20110223,2
64971,20110502,2
64971,20120430,2
64971,20101113,1
64971,20101104,2
64971,20110308,2
64971,20110307,2
64971,20110613,2
64971,20120507,2
64971,20120611,2
64971,20120512,1
64971,20121231,2
64971,20120103,2
64971,20120109,2
64971,20120309,2
64971,20130502,2
64971,20130510,2
64971,20140612,2
64971,20140914,1
64971,20150105,2
64971,20150107,2
64971,20150511,2
64971,20160220,1
64971,20160503,2
64971,20160613,2
64971,20170104,2
64971,20170224,2
64971,20121229,1
64971,20130102,2
64971,20130103,2
64971,20120104,2
64971,20120308,2
64971,20120508,2
64971,20120428,1
64971,20120609,1
64971,20130612,2
64971,20140310,2
64971,20140501,2
64971,20140509,2
64971,20141103,2
64971,20150309,2
64971,20150612,2
64971,20151104,2
64971,20160222,2
64971,20160223,2
64971,20170103,2
64971,20170308,2
64971,20130101,2
64971,20130104,2
64971,20130107,2
64971,20120102,2
64971,20120105,2
64971,20120223,2
64971,20130501,2
64971,20140106,2
64971,20150101,2
64971,20150102,2
64971,20150109,2
64971,20150223,2
64971,20150501,2
64971,20150504,2
64971,20160101,2
64971,20160104,2
64971,20160105,2
64971,20160107,2
64971,20170102,2
64971,20170105,2
64971,20130308,2
64971,20121105,2
64971,20120501,2
64971,20120311,1
64971,20130503,2
64971,20130509,2
64971,20131104,2
64971,20140101,2
64971,20140102,2
64971,20140103,2
64971,20140107,2
64971,20140108,2
64971,20140502,2
64971,20140613,2
64971,20141104,2
64971,20150106,2
64971,20150108,2
64971,20160106,2
64971,20160108,2
64971,20160307,2
64971,20160308,2
64971,20160502,2
64971,20160509,2
64971,20161104,2
64971,20170106,2
64971,20170223,2
64971,20170501,2
64971,20170509,2
64971,20180308,2
64971,20180309,2
64971,20180502,2
64971,20190101,2
64971,20190103,2
64971,20190108,2
64971,20190502,2
64971,20180318,1
64971,20180428,1
64971,20180509,2
64971,20180609,1
64971,20180611,2
64971,20181105,2
64971,20190104,2
64971,20190308,2
64971,20190908,1
64971,20170612,2
64971,20171106,2
64971,20180101,2
64971,20180102,2
64971,20180105,2
64971,20180223,2
64971,20180430,2
64971,20180501,2
64971,20190102,2
64971,20181231,2
64971,20190501,2
64971,20190503,2
64971,20190509,2
64971,20190612,2
64971,20170508,2
64971,20180103,2
64971,20180104,2
64971,20180108,2
64971,20180612,2
64971,20181229,1
64971,20190107,2
64971,20190510,2
60245,20100227,2
60245,20100308,1
60245,20100510,1
60245,20100503,1
60245,20110107,1
